[2026-04-22 10:17:00] [INFO] === STEP 4: Add YAML Frontmatter ===
[2026-04-22 10:17:00] [INFO] Processing 1016 MD files...
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch10s07.md (152 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/two_paths.md (400 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ten-thousand.md (372 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch14s03.md (335 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch01s03.md (365 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/textualitychapter.md (929 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch19s01.md (1151 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/pr01s04.md (427 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/zealot.md (264 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch14s05.md (896 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/apc.md (823 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch01s01.md (337 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch06s01.md (4528 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch19s03.md (258 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch13s02.md (2921 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/futurechapter.md (300 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch11s09.md (610 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch20s03.md (3058 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/modularitychapter.md (978 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch06s03.md (577 words)
